序號,員工,上班日期,上班時間,下班時間,工時,異常狀態,
94,黃韋翔,2017/07/03,10:04:45,19:27:25,09:22,,
95,黃韋翔,2017/07/04,09:57:22,19:40:17,09:42,,
96,黃韋翔,2017/07/05,10:02:11,19:43:13,09:41,,
97,黃韋翔,2017/07/06,12:20:53,19:26:26,07:05,工時未滿8小時,
98,黃韋翔,2017/07/07,10:02:03,19:49:34,09:47,,
99,黃韋翔,2017/07/10,,,,請確認是否有請假等相關紀錄,
100,黃韋翔,2017/07/11,10:02:18,19:36:05,09:33,,
101,黃韋翔,2017/07/12,10:04:24,19:28:01,09:23,,
102,黃韋翔,2017/07/13,10:02:05,19:47:36,09:45,,
103,黃韋翔,2017/07/14,09:59:14,19:23:41,09:24,,
104,黃韋翔,2017/07/17,10:04:52,19:28:32,09:23,,
105,黃韋翔,2017/07/18,10:01:39,19:57:05,09:55,,
106,黃韋翔,2017/07/19,10:04:00,19:25:32,09:21,,
107,黃韋翔,2017/07/20,09:59:37,19:03:51,09:04,,
108,黃韋翔,2017/07/21,10:04:18,19:18:57,09:14,,
109,黃韋翔,2017/07/24,10:09:03,19:30:32,09:21,,
110,黃韋翔,2017/07/25,10:01:38,19:18:44,09:17,,
111,張瑞東,2017/06/26,10:26:19,20:06:34,09:40,,
112,張瑞東,2017/06/27,10:36:18,19:56:32,09:20,,
113,張瑞東,2017/06/28,10:41:46,20:04:19,09:22,,
114,張瑞東,2017/06/29,10:36:49,19:54:54,09:18,,
115,張瑞東,2017/06/30,11:22:12,21:23:02,10:00,,
116,張瑞東,2017/07/03,10:43:10,20:01:24,09:18,,
117,張瑞東,2017/07/04,10:49:26,20:27:40,09:38,,
118,張瑞東,2017/07/05,10:37:15,20:26:37,09:49,,
119,張瑞東,2017/07/06,10:23:40,19:45:42,09:22,,
120,張瑞東,2017/07/07,11:04:28,21:35:48,10:31,,
121,張瑞東,2017/07/10,10:54:39,10:54:39,00:00,請確認下班是否打卡,
122,張瑞東,2017/07/11,10:39:07,19:56:10,09:17,,
123,張瑞東,2017/07/12,10:39:09,20:01:30,09:22,,
124,張瑞東,2017/07/13,10:34:11,19:47:53,09:13,,
125,張瑞東,2017/07/14,10:51:19,19:38:14,08:46,工時未滿8小時,
126,張瑞東,2017/07/17,10:48:54,20:24:35,09:35,,
127,張瑞東,2017/07/18,10:39:09,20:52:06,10:12,,
128,張瑞東,2017/07/19,10:54:57,20:18:07,09:23,,
129,張瑞東,2017/07/20,10:48:52,22:39:14,11:50,,
130,張瑞東,2017/07/21,19:22:02,19:29:28,00:07,請確認上班是否打卡,
131,張瑞東,2017/07/24,10:21:33,20:01:33,09:40,,
132,張瑞東,2017/07/25,10:36:30,19:39:04,09:02,,
133,李秉倫,2017/06/26,12:49:00,19:00:12,06:11,工時未滿8小時,
134,李秉倫,2017/06/27,,,,請確認是否有請假等相關紀錄,
135,李秉倫,2017/06/28,10:26:54,19:47:11,09:20,,
136,李秉倫,2017/06/29,10:25:01,19:31:55,09:06,,
137,李秉倫,2017/06/30,10:42:04,19:45:37,09:03,,
138,李秉倫,2017/07/03,,,,請確認是否有請假等相關紀錄,
139,李秉倫,2017/07/04,14:40:01,19:26:50,04:46,請確認上班是否打卡,
140,李秉倫,2017/07/05,10:36:54,19:46:59,09:10,,
141,李秉倫,2017/07/06,10:24:41,19:33:18,09:08,,
142,李秉倫,2017/07/07,10:54:49,15:25:36,04:30,請確認下班是否打卡,
143,李秉倫,2017/07/10,,,,請確認是否有請假等相關紀錄,
144,李秉倫,2017/07/11,10:49:20,19:55:04,09:05,,
145,李秉倫,2017/07/12,10:24:35,19:33:25,09:08,,
146,李秉倫,2017/07/13,10:46:45,19:49:16,09:02,,
147,李秉倫,2017/07/14,10:37:30,19:41:05,09:03,,
148,李秉倫,2017/07/17,10:36:35,19:41:07,09:04,,
149,李秉倫,2017/07/18,10:59:10,19:58:47,08:59,工時未滿8小時,
150,李秉倫,2017/07/19,,,,請確認是否有請假等相關紀錄,
151,李秉倫,2017/07/20,10:37:34,19:45:38,09:08,,
152,李秉倫,2017/07/21,,,,請確認是否有請假等相關紀錄,
153,李秉倫,2017/07/24,10:47:02,20:03:49,09:16,,
154,李秉倫,2017/07/25,10:52:08,19:53:16,09:01,,
155,章逸翔,2017/06/26,13:21:29,21:42:23,08:20,工時未滿8小時,
156,章逸翔,2017/06/27,15:28:44,20:41:42,05:12,請確認上班是否打卡,
157,章逸翔,2017/06/28,00:07:02,23:34:59,23:27,,
158,章逸翔,2017/06/29,,,,請確認是否有請假等相關紀錄,
159,章逸翔,2017/06/30,05:23:21,21:23:06,15:59,,
160,章逸翔,2017/07/03,05:01:33,18:45:52,13:44,,
161,章逸翔,2017/07/04,16:59:02,20:27:44,03:28,請確認上班是否打卡,
162,章逸翔,2017/07/05,,,,請確認是否有請假等相關紀錄,
163,章逸翔,2017/07/06,12:27:04,19:36:14,07:09,工時未滿8小時,
164,章逸翔,2017/07/07,15:26:55,21:43:01,06:16,請確認上班是否打卡,
165,章逸翔,2017/07/10,05:26:57,20:21:25,14:54,,
166,章逸翔,2017/07/11,13:05:36,16:26:09,03:20,請確認下班是否打卡,
167,章逸翔,2017/07/12,15:38:52,20:13:42,04:34,請確認上班是否打卡,
168,章逸翔,2017/07/13,12:26:50,16:38:16,04:11,請確認下班是否打卡,
169,章逸翔,2017/07/14,14:41:33,15:35:31,00:53,請確認下班是否打卡,
170,章逸翔,2017/07/17,05:43:49,22:53:15,17:09,,
171,章逸翔,2017/07/18,12:52:44,18:50:29,05:57,工時未滿8小時,
172,章逸翔,2017/07/19,00:08:54,16:41:11,16:32,請確認下班是否打卡,
173,章逸翔,2017/07/20,14:06:28,14:06:28,00:00,請確認下班是否打卡,
174,章逸翔,2017/07/21,04:30:00,16:37:17,12:07,請確認下班是否打卡,
175,章逸翔,2017/07/24,13:20:27,20:22:08,07:01,工時未滿8小時,
176,章逸翔,2017/07/25,13:48:34,13:48:34,00:00,請確認下班是否打卡,
177,郭小嬋,2017/06/26,,,,請確認是否有請假等相關紀錄,
178,郭小嬋,2017/06/27,,,,請確認是否有請假等相關紀錄,
179,郭小嬋,2017/06/28,,,,請確認是否有請假等相關紀錄,
